Date,Time,Open,High,Low,Close,Volume
2017.11.01,00:00,1.16459,1.16484,1.16455,1.16482,282
2017.11.01,00:05,1.16482,1.16524,1.16482,1.16504,317
2017.11.01,00:10,1.16505,1.16506,1.16488,1.16490,181
2017.11.01,00:15,1.16491,1.16496,1.16475,1.16493,197
2017.11.01,00:20,1.16494,1.16498,1.16472,1.16476,118
2017.11.01,00:25,1.16476,1.16487,1.16468,1.16482,134
2017.11.01,00:30,1.16479,1.16487,1.16476,1.16484,131
2017.11.01,00:35,1.16485,1.16501,1.16484,1.16499,114
2017.11.01,00:40,1.16500,1.16512,1.16498,1.16510,115
2017.11.01,00:45,1.16509,1.16511,1.16503,1.16503,65
2017.11.01,00:50,1.16504,1.16506,1.16498,1.16499,50
2017.11.01,00:55,1.16500,1.16500,1.16483,1.16494,72
2017.11.01,01:00,1.16494,1.16498,1.16480,1.16485,181
2017.11.01,01:05,1.16484,1.16488,1.16467,1.16477,165
2017.11.01,01:10,1.16477,1.16505,1.16477,1.16503,216
2017.11.01,01:15,1.16503,1.16517,1.16490,1.16511,180
2017.11.01,01:20,1.16512,1.16517,1.16508,1.16511,61
2017.11.01,01:25,1.16510,1.16527,1.16510,1.16527,103
2017.11.01,01:30,1.16528,1.16542,1.16521,1.16536,169
2017.11.01,01:35,1.16535,1.16548,1.16530,1.16536,153
2017.11.01,01:40,1.16537,1.16537,1.16510,1.16510,196
2017.11.01,01:45,1.16510,1.16511,1.16493,1.16496,242
2017.11.01,01:50,1.16495,1.16505,1.16488,1.16502,191
2017.11.01,01:55,1.16501,1.16519,1.16501,1.16518,184
2017.11.01,02:00,1.16519,1.16519,1.16488,1.16490,253
2017.11.01,02:05,1.16491,1.16541,1.16491,1.16495,303
2017.11.01,02:10,1.16494,1.16494,1.16429,1.16441,561
2017.11.01,02:15,1.16442,1.16471,1.16433,1.16440,296
2017.11.01,02:20,1.16441,1.16447,1.16423,1.16445,338
2017.11.01,02:25,1.16445,1.16464,1.16436,1.16441,188
2017.11.01,02:30,1.16440,1.16450,1.16430,1.16442,233
2017.11.01,02:35,1.16441,1.16446,1.16424,1.16427,238
2017.11.01,02:40,1.16429,1.16453,1.16427,1.16446,276
2017.11.01,02:45,1.16446,1.16447,1.16433,1.16447,213
2017.11.01,02:50,1.16446,1.16451,1.16410,1.16423,336
2017.11.01,02:55,1.16423,1.16425,1.16391,1.16396,420
2017.11.01,03:00,1.16397,1.16403,1.16362,1.16375,374
2017.11.01,03:05,1.16376,1.16397,1.16344,1.16380,455
2017.11.01,03:10,1.16381,1.16408,1.16347,1.16368,532
2017.11.01,03:15,1.16370,1.16394,1.16368,1.16391,265
2017.11.01,03:20,1.16392,1.16392,1.16377,1.16387,201
2017.11.01,03:25,1.16386,1.16387,1.16351,1.16359,287
2017.11.01,03:30,1.16359,1.16361,1.16315,1.16337,329
2017.11.01,03:35,1.16337,1.16354,1.16332,1.16333,249
2017.11.01,03:40,1.16334,1.16341,1.16320,1.16333,218
2017.11.01,03:45,1.16332,1.16350,1.16326,1.16347,219
2017.11.01,03:50,1.16348,1.16371,1.16333,1.16359,282
2017.11.01,03:55,1.16360,1.16382,1.16348,1.16364,262
2017.11.01,04:00,1.16365,1.16371,1.16315,1.16316,393
2017.11.01,04:05,1.16317,1.16338,1.16315,1.16337,225
2017.11.01,04:10,1.16337,1.16337,1.16327,1.16327,181
2017.11.01,04:15,1.16326,1.16326,1.16311,1.16325,235
